pais,growth,colorcol
Perú,-80.66526744260001,no
Argentina,-69.94392221729132,no
Panamá,-69.93464052287581,no
Costa Rica,-69.85221674876848,no
Honduras,-68.32844574780059,no
Ecuador,-65.67164179104478,no
Guatemala,-63.454449710373886,no
El Salvador,-63.008736415938635,no
Uruguay,-57.227138643067846,no
Chile,-52.491939198526026,no
Colombia,-49.03799694250161,no
Venezuela,-41.57256378084484,no
Brasil,2.9506829319153383,yes
Nicaragua,19.550561797752806,yes
Rep. Dominicana,48.64048338368582,yes
Paraguay,77.09251101321587,yes
Bolivia,129.4478527607362,yes
