fecha_online,conteo,conteo_MA,semana
0,2899,2899.0,5 de enero
1,10649,6774.0,12 de enero
2,12158,8568.666666666666,19 de enero
3,13351,12052.666666666666,26 de enero
4,18412,14640.333333333334,2 de febrero
5,40089,23950.666666666668,9 de febrero
6,59145,39215.333333333336,16 de febrero
7,12999,37411.0,23 de febrero
8,10024,27389.333333333332,1 de marzo
9,29694,17572.333333333332,8 de marzo
10,60557,33425.0,15 de marzo
11,30400,40217.0,22 de marzo
12,40690,43882.333333333336,29 de marzo
13,26637,32575.666666666668,5 de abril
14,14910,27412.333333333332,12 de abril
15,10277,17274.666666666668,19 de abril
16,19898,15028.333333333334,26 de abril
17,16253,15476.0,3 de mayo
18,17029,17726.666666666668,10 de mayo
19,12536,15272.666666666666,17 de mayo
20,12712,14092.333333333334,24 de mayo
21,14123,13123.666666666666,31 de mayo
22,21768,16201.0,7 de junio
23,16483,17458.0,14 de junio
24,18237,18829.333333333332,21 de junio
25,16596,17105.333333333332,28 de junio
26,19280,18037.666666666668,5 de julio
27,20330,18735.333333333332,12 de julio
28,21841,20483.666666666668,19 de julio
29,18720,20297.0,26 de julio
30,22222,20927.666666666668,2 de agosto
31,22352,21098.0,9 de agosto
32,21452,22008.666666666668,16 de agosto
33,22959,22254.333333333332,23 de agosto
34,26245,23552.0,30 de agosto
35,29942,26382.0,6 de septiembre
36,23825,26670.666666666668,13 de septiembre
37,24962,26243.0,20 de septiembre
