fecha_online,pais,conteo,conteo_MA,semana
0,Argentina,159.0,159.0,5 de enero
1,Argentina,397.0,278.0,12 de enero
2,Argentina,456.0,337.3333333333333,19 de enero
3,Argentina,430.0,427.6666666666667,26 de enero
4,Argentina,925.0,603.6666666666666,2 de febrero
5,Argentina,3883.0,1746.0,9 de febrero
6,Argentina,5191.0,3333.0,16 de febrero
8,Argentina,203.0,3092.3333333333335,1 de marzo
9,Argentina,1984.0,2459.3333333333335,8 de marzo
10,Argentina,7291.0,3159.3333333333335,15 de marzo
11,Argentina,801.0,3358.6666666666665,22 de marzo
12,Argentina,4871.0,4321.0,29 de marzo
13,Argentina,5249.0,3640.3333333333335,5 de abril
14,Argentina,2619.0,4246.333333333333,12 de abril
15,Argentina,1675.0,3181.0,19 de abril
16,Argentina,4223.0,2839.0,26 de abril
17,Argentina,2942.0,2946.6666666666665,3 de mayo
18,Argentina,1885.0,3016.6666666666665,10 de mayo
19,Argentina,841.0,1889.3333333333333,17 de mayo
20,Argentina,810.0,1178.6666666666667,24 de mayo
21,Argentina,900.0,850.3333333333334,31 de mayo
22,Argentina,1017.0,909.0,7 de junio
23,Argentina,996.0,971.0,14 de junio
24,Argentina,985.0,999.3333333333334,21 de junio
25,Argentina,889.0,956.6666666666666,28 de junio
26,Argentina,1083.0,985.6666666666666,5 de julio
27,Argentina,807.0,926.3333333333334,12 de julio
28,Argentina,1178.0,1022.6666666666666,19 de julio
29,Argentina,1176.0,1053.6666666666667,26 de julio
30,Argentina,1584.0,1312.6666666666667,2 de agosto
31,Argentina,1874.0,1544.6666666666667,9 de agosto
32,Argentina,1636.0,1698.0,16 de agosto
1,Bolivia,2.0,2.0,12 de enero
2,Bolivia,6.0,4.0,19 de enero
3,Bolivia,25.0,11.0,26 de enero
4,Bolivia,7.0,12.666666666666666,2 de febrero
5,Bolivia,166.0,66.0,9 de febrero
6,Bolivia,24.0,65.66666666666667,16 de febrero
7,Bolivia,9.0,66.33333333333333,23 de febrero
8,Bolivia,1.0,11.333333333333334,1 de marzo
9,Bolivia,4.0,4.666666666666667,8 de marzo
10,Bolivia,133.0,46.0,15 de marzo
11,Bolivia,47.0,61.333333333333336,22 de marzo
13,Bolivia,21.0,67.0,5 de abril
14,Bolivia,8.0,25.333333333333332,12 de abril
15,Bolivia,747.0,258.6666666666667,19 de abril
16,Bolivia,103.0,286.0,26 de abril
17,Bolivia,7.0,285.6666666666667,3 de mayo
18,Bolivia,230.0,113.33333333333333,10 de mayo
20,Bolivia,9.0,82.0,24 de mayo
21,Bolivia,1.0,80.0,31 de mayo
22,Bolivia,238.0,82.66666666666667,7 de junio
23,Bolivia,10.0,83.0,14 de junio
24,Bolivia,154.0,134.0,21 de junio
25,Bolivia,91.0,85.0,28 de junio
26,Bolivia,142.0,129.0,5 de julio
27,Bolivia,361.0,198.0,12 de julio
28,Bolivia,565.0,356.0,19 de julio
29,Bolivia,168.0,364.6666666666667,26 de julio
30,Bolivia,588.0,440.3333333333333,2 de agosto
31,Bolivia,91.0,282.3333333333333,9 de agosto
32,Bolivia,99.0,259.3333333333333,16 de agosto
0,Brasil,6069.0,6069.0,5 de enero
1,Brasil,13508.0,9788.5,12 de enero
2,Brasil,21209.0,13595.333333333334,19 de enero
3,Brasil,22141.0,18952.666666666668,26 de enero
4,Brasil,25571.0,22973.666666666668,2 de febrero
5,Brasil,14708.0,20806.666666666668,9 de febrero
6,Brasil,19816.0,20031.666666666668,16 de febrero
7,Brasil,19856.0,18126.666666666668,23 de febrero
8,Brasil,14459.0,18043.666666666668,1 de marzo
9,Brasil,20881.0,18398.666666666668,8 de marzo
10,Brasil,16945.0,17428.333333333332,15 de marzo
11,Brasil,20821.0,19549.0,22 de marzo
12,Brasil,18120.0,18628.666666666668,29 de marzo
13,Brasil,24260.0,21067.0,5 de abril
14,Brasil,18453.0,20277.666666666668,12 de abril
15,Brasil,11405.0,18039.333333333332,19 de abril
16,Brasil,8122.0,12660.0,26 de abril
17,Brasil,19185.0,12904.0,3 de mayo
18,Brasil,18759.0,15355.333333333334,10 de mayo
19,Brasil,5788.0,14577.333333333334,17 de mayo
20,Brasil,8632.0,11059.666666666666,24 de mayo
21,Brasil,9919.0,8113.0,31 de mayo
22,Brasil,23106.0,13885.666666666666,7 de junio
23,Brasil,13408.0,15477.666666666666,14 de junio
24,Brasil,10917.0,15810.333333333334,21 de junio
25,Brasil,12205.0,12176.666666666666,28 de junio
26,Brasil,17692.0,13604.666666666666,5 de julio
27,Brasil,15304.0,15067.0,12 de julio
28,Brasil,12097.0,15031.0,19 de julio
29,Brasil,15271.0,14224.0,26 de julio
30,Brasil,16696.0,14688.0,2 de agosto
31,Brasil,18406.0,16791.0,9 de agosto
32,Brasil,5583.0,13561.666666666666,16 de agosto
0,Chile,165.0,165.0,5 de enero
1,Chile,462.0,313.5,12 de enero
2,Chile,417.0,348.0,19 de enero
3,Chile,443.0,440.6666666666667,26 de enero
4,Chile,1672.0,844.0,2 de febrero
5,Chile,4708.0,2274.3333333333335,9 de febrero
6,Chile,5272.0,3884.0,16 de febrero
7,Chile,1.0,3327.0,23 de febrero
8,Chile,195.0,1822.6666666666667,1 de marzo
9,Chile,1124.0,440.0,8 de marzo
10,Chile,3660.0,1659.6666666666667,15 de marzo
11,Chile,5639.0,3474.3333333333335,22 de marzo
12,Chile,64.0,3121.0,29 de marzo
13,Chile,1781.0,2494.6666666666665,5 de abril
14,Chile,984.0,943.0,12 de abril
15,Chile,569.0,1111.3333333333333,19 de abril
16,Chile,1903.0,1152.0,26 de abril
17,Chile,1087.0,1186.3333333333333,3 de mayo
18,Chile,1186.0,1392.0,10 de mayo
19,Chile,1031.0,1101.3333333333333,17 de mayo
20,Chile,851.0,1022.6666666666666,24 de mayo
21,Chile,1078.0,986.6666666666666,31 de mayo
22,Chile,1307.0,1078.6666666666667,7 de junio
23,Chile,1350.0,1245.0,14 de junio
24,Chile,1733.0,1463.3333333333333,21 de junio
25,Chile,1318.0,1467.0,28 de junio
26,Chile,1043.0,1364.6666666666667,5 de julio
27,Chile,1357.0,1239.3333333333333,12 de julio
28,Chile,1312.0,1237.3333333333333,19 de julio
29,Chile,1349.0,1339.3333333333333,26 de julio
30,Chile,1332.0,1331.0,2 de agosto
31,Chile,1639.0,1440.0,9 de agosto
32,Chile,1539.0,1503.3333333333333,16 de agosto
0,Colombia,86.0,86.0,5 de enero
1,Colombia,285.0,185.5,12 de enero
2,Colombia,648.0,339.6666666666667,19 de enero
3,Colombia,850.0,594.3333333333334,26 de enero
4,Colombia,1977.0,1158.3333333333333,2 de febrero
5,Colombia,9025.0,3950.6666666666665,9 de febrero
