rama_de_actividad,pais,fecha_online,conteo
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,2
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,2
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Enero,1
Agricultura / Pesca / Ganadería,Argentina,Febrero,1
Agricultura / Pesca / Ganadería,Argentina,Febrero,2
Agricultura / Pesca / Ganadería,Argentina,Febrero,3
Agricultura / Pesca / Ganadería,Argentina,Febrero,1
Agricultura / Pesca / Ganadería,Argentina,Febrero,7
Agricultura / Pesca / Ganadería,Argentina,Febrero,2
Agricultura / Pesca / Ganadería,Argentina,Febrero,5
Agricultura / Pesca / Ganadería,Argentina,Febrero,1
Agricultura / Pesca / Ganadería,Argentina,Febrero,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,6
Agricultura / Pesca / Ganadería,Argentina,Marzo,7
Agricultura / Pesca / Ganadería,Argentina,Marzo,3
Agricultura / Pesca / Ganadería,Argentina,Marzo,6
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,3
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,2
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Marzo,2
Agricultura / Pesca / Ganadería,Argentina,Marzo,1
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Abril,3
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Abril,2
Agricultura / Pesca / Ganadería,Argentina,Abril,2
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Abril,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,3
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,1
Agricultura / Pesca / Ganadería,Argentina,Mayo,3
Agricultura / Pesca / Ganadería,Argentina,Junio,1
Agricultura / Pesca / Ganadería,Argentina,Junio,1
Agricultura / Pesca / Ganadería,Argentina,Junio,2
Agricultura / Pesca / Ganadería,Argentina,Junio,3
Agricultura / Pesca / Ganadería,Argentina,Junio,3
Agricultura / Pesca / Ganadería,Argentina,Junio,1
Agricultura / Pesca / Ganadería,Argentina,Junio,1
Agricultura / Pesca / Ganadería,Argentina,Junio,1
Agricultura / Pesca / Ganadería,Chile,Enero,2
Agricultura / Pesca / Ganadería,Chile,Enero,1
Agricultura / Pesca / Ganadería,Chile,Enero,2
Agricultura / Pesca / Ganadería,Chile,Enero,2
Agricultura / Pesca / Ganadería,Chile,Enero,1
Agricultura / Pesca / Ganadería,Chile,Enero,1
Agricultura / Pesca / Ganadería,Chile,Enero,1
Agricultura / Pesca / Ganadería,Chile,Enero,1
Agricultura / Pesca / Ganadería,Chile,Enero,2
Agricultura / Pesca / Ganadería,Chile,Febrero,1
Agricultura / Pesca / Ganadería,Chile,Febrero,3
Agricultura / Pesca / Ganadería,Chile,Febrero,2
Agricultura / Pesca / Ganadería,Chile,Febrero,1
Agricultura / Pesca / Ganadería,Chile,Febrero,1
Agricultura / Pesca / Ganadería,Chile,Febrero,1
Agricultura / Pesca / Ganadería,Chile,Marzo,1
Agricultura / Pesca / Ganadería,Chile,Marzo,1
Agricultura / Pesca / Ganadería,Chile,Marzo,6
Agricultura / Pesca / Ganadería,Chile,Marzo,1
Agricultura / Pesca / Ganadería,Chile,Marzo,1
Agricultura / Pesca / Ganadería,Chile,Marzo,1
Agricultura / Pesca / Ganadería,Chile,Marzo,2
Agricultura / Pesca / Ganadería,Chile,Abril,1
Agricultura / Pesca / Ganadería,Chile,Abril,1
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Mayo,2
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Mayo,2
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Mayo,1
Agricultura / Pesca / Ganadería,Chile,Junio,1
Agricultura / Pesca / Ganadería,Chile,Junio,1
Agricultura / Pesca / Ganadería,Chile,Junio,1
Agricultura / Pesca / Ganadería,Chile,Junio,1
Agricultura / Pesca / Ganadería,Chile,Junio,1
Agricultura / Pesca / Ganadería,Colombia,Enero,1
Agricultura / Pesca / Ganadería,Colombia,Enero,1
Agricultura / Pesca / Ganadería,Colombia,Enero,2
Agricultura / Pesca / Ganadería,Colombia,Enero,3
Agricultura / Pesca / Ganadería,Colombia,Enero,3
Agricultura / Pesca / Ganadería,Colombia,Enero,3
Agricultura / Pesca / Ganadería,Colombia,Enero,2
Agricultura / Pesca / Ganadería,Colombia,Enero,1
Agricultura / Pesca / Ganadería,Colombia,Enero,3
Agricultura / Pesca / Ganadería,Colombia,Enero,7
Agricultura / Pesca / Ganadería,Colombia,Enero,4
Agricultura / Pesca / Ganadería,Colombia,Enero,1
Agricultura / Pesca / Ganadería,Colombia,Enero,5
Agricultura / Pesca / Ganadería,Colombia,Enero,2
Agricultura / Pesca / Ganadería,Colombia,Enero,3
Agricultura / Pesca / Ganadería,Colombia,Febrero,6
Agricultura / Pesca / Ganadería,Colombia,Febrero,4
Agricultura / Pesca / Ganadería,Colombia,Febrero,5
Agricultura / Pesca / Ganadería,Colombia,Febrero,8
Agricultura / Pesca / Ganadería,Colombia,Febrero,8
Agricultura / Pesca / Ganadería,Colombia,Febrero,11
Agricultura / Pesca / Ganadería,Colombia,Febrero,17
Agricultura / Pesca / Ganadería,Colombia,Febrero,5
Agricultura / Pesca / Ganadería,Colombia,Febrero,2
Agricultura / Pesca / Ganadería,Colombia,Febrero,28
Agricultura / Pesca / Ganadería,Colombia,Febrero,15
Agricultura / Pesca / Ganadería,Colombia,Febrero,24
Agricultura / Pesca / Ganadería,Colombia,Febrero,17
Agricultura / Pesca / Ganadería,Colombia,Febrero,1
Agricultura / Pesca / Ganadería,Colombia,Febrero,2
Agricultura / Pesca / Ganadería,Colombia,Febrero,2
Agricultura / Pesca / Ganadería,Colombia,Febrero,1
Agricultura / Pesca / Ganadería,Colombia,Febrero,5
Agricultura / Pesca / Ganadería,Colombia,Febrero,2
Agricultura / Pesca / Ganadería,Colombia,Febrero,1
Agricultura / Pesca / Ganadería,Colombia,Febrero,4
Agricultura / Pesca / Ganadería,Colombia,Febrero,6
Agricultura / Pesca / Ganadería,Colombia,Febrero,14
Agricultura / Pesca / Ganadería,Colombia,Febrero,6
Agricultura / Pesca / Ganadería,Colombia,Marzo,6
Agricultura / Pesca / Ganadería,Colombia,Marzo,16
Agricultura / Pesca / Ganadería,Colombia,Marzo,8
Agricultura / Pesca / Ganadería,Colombia,Marzo,18
Agricultura / Pesca / Ganadería,Colombia,Marzo,14
Agricultura / Pesca / Ganadería,Colombia,Marzo,20
Agricultura / Pesca / Ganadería,Colombia,Marzo,7
Agricultura / Pesca / Ganadería,Colombia,Marzo,11
Agricultura / Pesca / Ganadería,Colombia,Marzo,25
Agricultura / Pesca / Ganadería,Colombia,Marzo,17
Agricultura / Pesca / Ganadería,Colombia,Marzo,27
Agricultura / Pesca / Ganadería,Colombia,Marzo,62
