pais,year,growth,colorcol
Panamá,2021,-85.87479935794542,no
Ecuador,2021,-82.4767161090031,no
Venezuela,2021,-78.15149217726928,no
Argentina,2021,-72.05289469440413,no
Costa Rica,2021,-69.23076923076923,no
El Salvador,2021,-63.69946917109024,no
Guatemala,2021,-52.489367025268955,no
Honduras,2021,-50.558213716108455,no
Colombia,2021,-49.88005429121556,no
Uruguay,2021,-16.40673736743605,no
México,2021,-3.318046938224981,no
Perú,2021,6.749091836084389,yes
Brasil,2021,47.016343595591024,yes
Nicaragua,2021,63.597430406852254,yes
Chile,2021,68.11607596691465,yes
Paraguay,2021,219.4805194805195,yes
Rep. Dominicana,2021,308.40840840840843,yes
Bolivia,2021,825.7668711656441,yes
