year,fecha_online,conteo,conteo_MA,semana
2020,1,1335,1335.0,5 de enero
2020,2,5871,3603.0,12 de enero
2020,3,6972,4726.0,19 de enero
2020,4,7528,6790.333333333333,26 de enero
2020,5,9092,7864.0,2 de febrero
2020,6,4980,7200.0,9 de febrero
2020,7,119661,44577.666666666664,16 de febrero
2020,8,8739,44460.0,23 de febrero
2020,9,4592,44330.666666666664,1 de marzo
2020,10,5638,6323.0,8 de marzo
2020,11,88657,32962.333333333336,15 de marzo
2020,12,15375,36556.666666666664,22 de marzo
2020,13,60080,54704.0,29 de marzo
2020,14,27695,34383.333333333336,5 de abril
2020,15,88207,58660.666666666664,12 de abril
2020,16,9011,41637.666666666664,19 de abril
2020,17,32166,43128.0,26 de abril
2020,18,19794,20323.666666666668,3 de mayo
2020,19,20022,23994.0,10 de mayo
2020,20,21531,20449.0,17 de mayo
2020,21,19430,20327.666666666668,24 de mayo
2020,22,23798,21586.333333333332,31 de mayo
2020,23,30097,24441.666666666668,7 de junio
2020,24,23551,25815.333333333332,14 de junio
2020,25,27683,27110.333333333332,21 de junio
2020,26,23269,24834.333333333332,28 de junio
2020,27,28238,26396.666666666668,5 de julio
2020,28,31230,27579.0,12 de julio
2020,29,33882,31116.666666666668,19 de julio
2020,30,27546,30886.0,26 de julio
2020,31,33035,31487.666666666668,2 de agosto
2020,32,32431,31004.0,9 de agosto
2020,33,32031,32499.0,16 de agosto
2020,34,33619,32693.666666666668,23 de agosto
2020,35,38802,34817.333333333336,30 de agosto
2020,36,40879,37766.666666666664,6 de septiembre
2020,37,32033,37238.0,13 de septiembre
2020,38,39802,37571.333333333336,20 de septiembre
2020,39,39841,37225.333333333336,27 de septiembre
2020,40,37947,39196.666666666664,4 de octubre
2020,41,42846,40211.333333333336,11 de octubre
2020,42,38339,39710.666666666664,18 de octubre
2020,43,38041,39742.0,25 de octubre
2020,44,40427,38935.666666666664,1 de noviembre
2020,45,33139,37202.333333333336,8 de noviembre
2020,46,6078,26548.0,15 de noviembre
2020,47,26044,21753.666666666668,22 de noviembre
2020,48,45730,25950.666666666668,29 de noviembre
2020,49,49344,40372.666666666664,6 de diciembre
2020,50,44022,46365.333333333336,13 de diciembre
2020,51,45414,46260.0,20 de diciembre
2020,52,24100,37845.333333333336,27 de diciembre
2020,53,23244,30919.333333333332,3 de enero
2021,54,41630,29658.0,10 de enero
2021,55,45640,36838.0,17 de enero
2021,56,46270,44513.333333333336,24 de enero
2021,57,50073,47327.666666666664,31 de enero
2021,58,45994,47445.666666666664,7 de febrero
2021,59,56807,50958.0,14 de febrero
2021,60,58901,53900.666666666664,21 de febrero
2021,61,45435,53714.333333333336,28 de febrero
2021,62,46105,50147.0,7 de marzo
2021,63,71467,54335.666666666664,14 de marzo
2021,64,55945,57839.0,21 de marzo
2021,65,55853,61088.333333333336,4 de abril
2021,66,39527,50441.666666666664,11 de abril
2021,67,55478,50286.0,18 de abril
2021,68,58025,51010.0,25 de abril
2021,69,49583,54362.0,2 de mayo
2021,70,51233,52947.0,9 de mayo
2021,71,51691,50835.666666666664,16 de mayo
2021,75,74288,30213.333333333332,13 de junio
2021,76,35756,39547.0,20 de junio
2021,77,28905,46316.333333333336,27 de junio
2021,78,27296,30652.333333333332,4 de julio
2021,79,23931,26710.666666666668,11 de julio
2021,80,24606,25277.666666666668,18 de julio
2021,81,31493,26676.666666666668,25 de julio
2021,82,31648,29249.0,1 de agosto
2021,83,28917,30686.0,8 de agosto
2021,84,22152,27572.333333333332,15 de agosto
2021,85,46373,32480.666666666668,22 de agosto
2021,86,30910,33145.0,29 de agosto
2021,87,34543,37275.333333333336,5 de septiembre
2021,88,29440,31631.0,12 de septiembre
2021,89,33330,32437.666666666668,19 de septiembre
2021,90,35617,32795.666666666664,26 de septiembre
2021,91,33099,34015.333333333336,3 de octubre
2021,92,34142,34286.0,10 de octubre
2021,93,17125,28122.0,17 de octubre
2021,94,33668,28311.666666666668,24 de octubre
2021,95,39646,30146.333333333332,31 de octubre
2021,96,36166,36493.333333333336,7 de noviembre
2021,97,12291,29367.666666666668,14 de noviembre
2021,98,21721,23392.666666666668,21 de noviembre
2021,99,33626,22546.0,28 de noviembre
2021,100,36171,30506.0,5 de diciembre
