Unnamed: 0,Ocupaciones,Habilidades
0,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-7-4: rematar estructuras interiores o exteriores 
1,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2,2-3: Profesionales de la enseñanza ,1-1-5: presentar información 
3,9-5: Vendedores ambulantes de servicios y afines ,1-6-3: mover y elevar 
4,4-4: Otro personal de apoyo administrativo ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
5,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-1-7: promocionar, vender y comprar "
6,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
7,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-6-13: manipular y eliminar residuos y materiales peligrosos 
8,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
9,9-4: Ayudantes de preparación de alimentos ,1-3-6: preparar y servir alimentos y bebidas 
10,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
11,2-2: Profesionales de la salud ,1-1-2: negociar 
12,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-6-6: ensamblar y fabricar productos 
13,7-3: Artesanos y operarios de las artes gráficas ,"1-1-12: crear materiales artísticos, visuales o docentes "
14,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
15,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-8-3: conducir vehículos 
16,4-2: Empleados en trato directo con el público ,1-1-3: actuar como enlace y crear redes de contactos 
17,1-3: Directores y gerentes de producción y operaciones ,1-6-5: ocuparse de plantas y cultivos 
18,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
19,9-5: Vendedores ambulantes de servicios y afines ,1-6-3: mover y elevar 
20,4-2: Empleados en trato directo con el público ,"1-2-9: realizar seguimiento, inspección y ensayos "
21,9-4: Ayudantes de preparación de alimentos ,1-3-7: prestar cuidados personales en general 
22,5-1: Trabajadores de los servicios personales ,1-3-4: proteger y velar por el cumplimiento 
23,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-8-3: conducir vehículos 
24,1-2: Directores administradores y comerciales ,1-3-1: prestar asistencia y cuidados 
25,9-4: Ayudantes de preparación de alimentos ,1-6-10: manipular animales 
26,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-13: manipular y eliminar residuos y materiales peligrosos 
27,3-2: Profesionales de nivel medio de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
28,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-11: limpiar 
29,1-3: Directores y gerentes de producción y operaciones ,1-3-2: ofrecer orientación 
30,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
31,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-6: prestar asesoramiento y consultoría 
32,9-5: Vendedores ambulantes de servicios y afines ,1-3-4: proteger y velar por el cumplimiento 
33,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-8: instalar, mantener y reparar equipos mecánicos "
34,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-2-9: realizar seguimiento, inspección y ensayos "
35,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
36,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-6-9: colocar materiales, herramientas o equipos "
37,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-2-1: competencias en materia de información 
38,5-3: Trabajadores de los cuidados personales ,"1-6-9: colocar materiales, herramientas o equipos "
39,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
40,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
41,9-4: Ayudantes de preparación de alimentos ,1-4-9: supervisar a personas 
42,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
43,5-1: Trabajadores de los servicios personales ,1-3-1: prestar asistencia y cuidados 
